objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,runtime,best_bound,node_count,instance_id,instance,category,tch_scale,transp_scale,timestamp
11846248.051381502,optimal,950439,147951,5.385316942775881e-05,9.683518886566162,11845610.093378108,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.8,0.8,202507100227
11846574.107267201,optimal,950439,147951,8.14021612679635e-05,8.948764085769653,11845609.770531248,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.8,0.9,202507100229
11846119.147321973,optimal,950439,147951,4.425999283394445e-05,9.373140096664429,11845594.838173402,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.8,1.0,202507100232
11846373.350475103,optimal,950439,147951,6.095146621826135e-05,8.799715042114258,11845651.296650022,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.8,1.1,202507100234
11846337.367628448,optimal,950439,147951,6.647822232142118e-05,8.362242937088013,11845549.844179228,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.8,1.2,202507100236
11846248.051381502,optimal,950439,147951,5.385316942775881e-05,8.792194128036499,11845610.093378108,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.9,0.8,202507100238
11846574.107267201,optimal,950439,147951,8.14021612679635e-05,8.921008110046387,11845609.770531248,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.9,0.9,202507100240
11846119.147321973,optimal,950439,147951,4.425999283394445e-05,8.401299953460693,11845594.838173402,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.9,1.0,202507100242
11846373.350475103,optimal,950439,147951,6.095146621826135e-05,11.192075967788696,11845651.296650022,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.9,1.1,202507100244
11846337.367628448,optimal,950439,147951,6.647822232142118e-05,10.771934986114502,11845549.844179228,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.9,1.2,202507100247
11846248.051381502,optimal,950439,147951,5.385316942775881e-05,11.588468074798584,11845610.093378108,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.0,0.8,202507100249
11846574.107267201,optimal,950439,147951,8.14021612679635e-05,8.44942593574524,11845609.770531248,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.0,0.9,202507100252
11846119.147321973,optimal,950439,147951,4.425999283394445e-05,11.067863941192627,11845594.838173402,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.0,1.0,202507100254
11846373.350475103,optimal,950439,147951,6.095146621826135e-05,9.09616494178772,11845651.296650022,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.0,1.1,202507100256
11846337.367628448,optimal,950439,147951,6.647822232142118e-05,8.56521201133728,11845549.844179228,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.0,1.2,202507100258
11846248.051381502,optimal,950439,147951,5.385316942775881e-05,8.870131969451904,11845610.093378108,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.1,0.8,202507100301
11846574.107267201,optimal,950439,147951,8.14021612679635e-05,8.657874822616577,11845609.770531248,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.1,0.9,202507100303
11846119.147321973,optimal,950439,147951,4.425999283394445e-05,8.710545063018799,11845594.838173402,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.1,1.0,202507100305
11846373.350475103,optimal,950439,147951,6.095146621826135e-05,8.219095945358276,11845651.296650022,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.1,1.1,202507100307
11846337.367628448,optimal,950439,147951,6.647822232142118e-05,7.809713840484619,11845549.844179228,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.1,1.2,202507100309
11846248.051381502,optimal,950439,147951,5.385316942775881e-05,8.276365041732788,11845610.093378108,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.2,0.8,202507100311
11846574.107267201,optimal,950439,147951,8.14021612679635e-05,7.697036981582642,11845609.770531248,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.2,0.9,202507100313
11846119.147321973,optimal,950439,147951,4.425999283394445e-05,12.946217060089111,11845594.838173402,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.2,1.0,202507100315
11846373.350475103,optimal,950439,147951,6.095146621826135e-05,11.064871072769165,11845651.296650022,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.2,1.1,202507100318
11846337.367628448,optimal,950439,147951,6.647822232142118e-05,8.851414918899536,11845549.844179228,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.2,1.2,202507100320
