objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,runtime,best_bound,node_count,instance_id,instance,category,transp_scale,timestamp
15734004.687342847,optimal,950439,147951,2.8074498886356735e-05,7.599797964096069,15733562.963045774,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.05,202507100909
14899553.713583447,optimal,950439,147951,1.0632391300698599e-05,8.2608060836792,14899395.295698158,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.15,202507100911
14084519.146661662,optimal,950439,147951,6.846482476306955e-05,10.854841947555542,14083554.852526413,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.25,202507100914
13288906.95956049,optimal,950439,147951,6.368493280013785e-05,8.84429383277893,13288060.656413782,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.35,202507100916
12519781.235831846,optimal,950439,147951,9.367830818207129e-05,17.038113117218018,12518608.403906863,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.45,202507100918
11876095.858760606,optimal,950439,147951,6.343550593039581e-05,21.944205045700073,11875342.492611328,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.55,202507100921
11846591.521600489,optimal,950439,147951,7.865934540001181e-05,12.715131044387817,11845659.676466178,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.65,202507100923
11846730.29079295,optimal,950439,147951,9.726383446330277e-05,13.634721994400024,11845578.032379014,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.75,202507100926
11846347.60942176,optimal,950439,147951,6.129765604184949e-05,10.166007995605469,11845621.456080645,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.85,202507100928
11846735.78353484,optimal,950439,147951,9.992848000649166e-05,7.931179046630859,11845551.957234953,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,0.95,202507100930
11846320.732719472,optimal,950439,147951,6.122946364687424e-05,13.819139003753662,11845595.388854818,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.05,202507100933
11846411.409476854,optimal,950439,147951,6.759357264037369e-05,9.335986137390137,11845610.66820672,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.15,202507100935
11846264.845262606,optimal,950439,147951,5.3572251637208705e-05,10.995845079421997,11845630.214181354,,63,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,deterministic_sensitivity,1.25,202507100937
